term,era,snippet_id,text
sin,pre1950,6c165e7313c5,sin 1 (z' = sin 1 a cos I
sin,pre1950,44b125457108,in which e must be expressed in are. In the factor sin {z' + E) we may substitute z for z' without sensible error.
sin,pre1950,4e7de5ba7222,2^=2 +B—e»inll20'' + 2 + E) f=2'\- C— e sin (340*» J^ 2 + E)
sin,pre1950,da0e0c5bf9d6,sin (120*> + z + ^) + sin (240^ + ^ + £) == — sin (^ + Jff)
sin,pre1950,905984119e34,y = ^ + 5 — a — c sin (^ 4- E)
sin,pre1950,e4823edf26d8,n = a + 2« sin (2r + E) (11)
sin,pre1950,e0c67b08ea38,€ sin P = ^ (n — n')
sin,pre1950,c9e6cfb9a80b,"when sin — = 0 and cos-^^ = 1, that is, only when » is a mul-"
sin,pre1950,0d7ebced5297,2: cos m . — + i/ — 1 ^ sin m • ^^ = 0 S S
sin,pre1950,6ecaa1bb5fd1,S cos m . -^ + V — 1 -T sin m- -^ = a
sin,pre1950,e2b5b4dfc338,"sin' X ^ i — ^ cos 2 x and, therefore,"
sin,pre1950,04374faa3218,"In this form, the three unknown quantities are a, e sin P, and fcosP. The final equation in each unknown quantity, according to the method of least squares, is to be found by multiplying each equation of condition by the coefficient of the unknown quantity in that equation, and adding together the products. This process gives, by the aid of the theorems of the preceding article (observing that here p = 1),"
sin,pre1950,cb3a5acbc286,qa = 2! n^ qe sin P=: Ji n^
sin,pre1950,d69328e8abb1,"To find qe sin P, we multiply each n by the cosine of the angle to which it belongs, and add the products. In like mapner,"
sin,pre1950,5103f54d45b2,"sin (z + F') + /"" sin (2z + F"") + /'"" sin (3? + F'"") + &c. '"
sin,pre1950,344c562afbc3,"n'_^o-f- 2/"" sin"
sin,pre1950,3840b4369f8f,"Then, with the aid of a traverse table, we find the values o£* ii'cos 2^ and n' sin 22:, as below :"
sin,pre1950,a798ea3d5691,"18 f"" sin F"" — 28"".02"
sin,pre1950,36b12a7411dd,"Id the same manner, we find, from the sums of the products 9' «oe 4iZ and n' sin 4z,"
sin,pre1950,1b4d3db26e5e,"f (e)+p(180«+ z)=W'M Bin (2 7+299° 30')+0"".2a sin (4«+4'> 17') (80)"
sin,pre1950,e523e15bc140,"and this quantity also expresses the mean error of a single reading of one microscope of this instrument. This mean error of a reading was also found by comparing a number of successive readings of the same microscope on the same division, which gave 0"".36 : so that the agreement of the above computed and observed values of n' is even closer than is necessary to sustain the hypothesis of an elliptical form of the pivot. It is also evi- dent that the addition of the term 0"".22 sin (Az + 4° 17') of (30) would but slightly reduce the mean error of n'."
sin,pre1950,e62b0bdcbaed,"The regular or periodic errors are thoBe which recar at regular iaterralB according to aome law, and which maj, therefore, be expressed as functions of the reading itself. Even the error of eccentricity, above considered, may be treated as such a periodic error of graduation, since its effect upon the reading (z) is the same aa if the graduation everywhere required the correction e sin {z + E). The sum of all the corrections for such periodic errors, regarded as a function of the reading {z), and denoted by -^ (z), must have the general form"
sin,pre1950,9a8883b420fc,"4(0=«'sin(2+C""+m.^Wu""sin(2j+Cr""+m.^) + &c."
sin,pre1950,14f4da6d96f5,- V ■ 4 (O = -„ w^*^^ sin (r^-2: + Z7) (33)
sin,pre1950,6457538dd617,"u"" sin (22: + C7"") + u»^ sin (42:+ U''') + &c. ; the mean of three microscopes, the correction"
sin,post1950,5b16a4842116,"Sin-Chung Chang Lewis Research Center Cleveland, Ohio"
sin,post1950,b5c83ec0eabb,Sin-Chung Chang
sin,post1950,f559255a6cf8,"u(x, y, 0) = 20 + 80 [y — sin(0.57rx) sin(0.57ry)] ux(x, y, 0) = —40?r cos(0.57tx) sin(0.57ry) uy(x,y,0) = 80 — 407r sin(0.57rx) cos(0.57ry)"
sin,post1950,894c5ba882f5,"u(x, y, t) = 20 + 80 [y — e-0-5/i7r2* sin(0.57rx) sin(0.57ry)]"
sin,post1950,952b6c55bed5,"Xiao-Yen Wang and Chuen-Yen Chow, University of Colorado, Department of Aerospace Engineering Sciences, Boulder, Colorado 80309-0429 (work funded by NASA Grant NAG3-1566), and Sin-Chung Chang, NASA Lewis Research Center. Responsible person, Sin-Chung Chang, organization code 2660, (216) 433-5874."
